name,iso_code,latitude,longitude
"Baja California Sur",MX-03,NULL,NULL
"Campeche",MX-04,NULL,NULL
"Chiapas",MX-05,NULL,NULL
"Chihuahua",MX-06,NULL,NULL
"Coahuila de Zaragoza",MX-07,NULL,NULL
"Colima",MX-08,NULL,NULL
"Distrito Federal",MX-09,NULL,NULL
"Durango",MX-10,NULL,NULL
"Guanajuato",MX-11,NULL,NULL
"Guerrero",MX-12,NULL,NULL
"Hidalgo",MX-13,NULL,NULL
"Jalisco",MX-14,NULL,NULL
"Mexico",MX-15,NULL,NULL
"Michoacan de Ocampo",MX-16,NULL,NULL
"Morelos",MX-17,NULL,NULL
"Nayarit",MX-18,NULL,NULL
"Nuevo Leon",MX-19,NULL,NULL
"Oaxaca",MX-20,NULL,NULL
"Puebla",MX-21,NULL,NULL
"Queretaro de Arteaga",MX-22,NULL,NULL
"Quintana Roo",MX-23,NULL,NULL
"San Luis Potosi",MX-24,NULL,NULL
"Sinaloa",MX-25,NULL,NULL
"Sonora",MX-26,NULL,NULL
"Tabasco",MX-27,NULL,NULL
"Tamaulipas",MX-28,NULL,NULL
"Tlaxcala",MX-29,NULL,NULL
"Veracruz-Llave",MX-30,NULL,NULL
"Yucatan",MX-31,NULL,NULL
"Zacatecas",MX-32,NULL,NULL
"Johor",MY-01,NULL,NULL
"Kedah",MY-02,NULL,NULL
"Kelantan",MY-03,NULL,NULL
"Labuan",MY-15,NULL,NULL
"Melaka",MY-04,NULL,NULL
"Negeri Sembilan",MY-05,NULL,NULL
"Pahang",MY-06,NULL,NULL
"Perak",MY-07,NULL,NULL
"Perlis",MY-08,NULL,NULL
"Pulau Pinang",MY-09,NULL,NULL
"Sabah",MY-16,NULL,NULL
"Sarawak",MY-11,NULL,NULL
"Selangor",MY-12,NULL,NULL
"Terengganu",MY-13,NULL,NULL
"Wilayah Persekutuan",MY-14,NULL,NULL
"Cabo Delgado",MZ-01,-12.333612,39.380555
"Gaza",MZ-02,-23.304747,32.899948
"Inhambane",MZ-03,-23.87167,35.38688
"Manica",MZ-10,-20.0749,34.719261
"Maputo",MZ-04,NULL,NULL
"Nampula",MZ-06,NULL,NULL
"Niassa",MZ-07,NULL,NULL
"Sofala",MZ-05,NULL,NULL
"Tete",MZ-08,NULL,NULL
"Zambezia",MZ-09,NULL,NULL
"Bethanien",NA-01,-26.50238,17.16074
"Boesmanland",NA-03,NULL,NULL
"Caprivi",NA-28,NULL,NULL
